book_identity_id,inventory_id,local_file_location,format,file_size_mb,page_count,text_quality,canonical_copy,file_status,notes
book-id-021,book-068,"/Users/alessandralove/Downloads/Guitar Resources/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf",PDF,11.8,172,text-based / extraction likely good,No,Duplicate / Archive,Archive this duplicate path in catalogue only
book-id-021,book-078,"/Users/alessandralove/Downloads/LEARNING/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf",PDF,11.8,172,text-based / extraction likely good,Yes,Canonical,Use this copy as the working source
book-id-022,book-045,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Collection] Fred Sokolow, Fred Sokolow - The Roots of Slide Guitar (Guitar Collection) (1999, Hal Leonard Corporation) - libgen.li.pdf",PDF,19.7,48,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-023,book-044,"/Users/alessandralove/Downloads/Guitar Resources/[Fretboard Roadmaps] Fred Sokolow, Tim Emmons - Fretboard Roadmaps (2005, Hal Leonard Corporation) - libgen.li.pdf",PDF,6.9,64,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-024,book-046,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Techniques] Fred Sokolow - Fretboard Roadmaps_ The Essential Guitar Patterns That All the Pros Know and Use (1993, Hal Leonard Corporation) - libgen.li.pdf",PDF,8.2,64,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-025,book-013,"/Users/alessandralove/Downloads/Guitar Resources/ Frederick Ariel - The Classical Guitar (Frederick Noad Guitar Anthology) (1976, Amsco Publications) - libgen.li.pdf",PDF,66.0,144,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-026,book-014,/Users/alessandralove/Downloads/Guitar Resources/ Glenn Weiser - Celtic Guitar Encyclopedia - Fingerstyle Guitar Edition - libgen.li.pdf,PDF,5.0,193,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-027,book-015,"/Users/alessandralove/Downloads/Guitar Resources/ Guitar Music Theory. Ear Training Manual for Musicians (1986, Navi) - libgen.li.pdf",PDF,2.1,94,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-028,book-016,/Users/alessandralove/Downloads/Guitar Resources/ Hill D - Musicians Institute - Guitar Licktionary (Hal-Leonard) - libgen.li.pdf,PDF,7.7,72,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-029,book-017,"/Users/alessandralove/Downloads/Guitar Resources/ Howard Mancel Roberts - Super Chops_ Jazz Guitar Technique in 20 Weeks (1978, Cherry Lane Music) - libgen.li.pdf",PDF,4.1,83,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-030,book-018,"/Users/alessandralove/Downloads/Guitar Resources/ Jamey Aebersold - How To Play Jazz and Improvise Guitar Book (2000, Jamey Aebersold Jazz Inc) - libgen.li.pdf",PDF,6.6,74,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-031,book-056,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Jamie Andreas - Principles of Correct Practice for Guitar (1999, Jamey World, Inc.) - libgen.li.pdf",PDF,4.8,89,scanned / OCR needed,Yes,Canonical,Add to OCR priority review
book-id-032,book-047,"/Users/alessandralove/Downloads/Guitar Resources/[Musicians Institute Press] Jean Marc Belkadi - Advanced Scale Concepts and Licks for Guitar_ Private Lessons (1999, Musicians Institute Press) - libgen.li.pdf",PDF,10.9,44,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-033,book-019,"/Users/alessandralove/Downloads/Guitar Resources/ Jim Ferguson - All Blues Soloing for Jazz Guitar (1999, Mel Bay Publications,U.S.) - libgen.li.pdf",PDF,60.9,96,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
